contentid;pagetitle;tmplvarid;value
7531981;NV1-H-3M;6;assets/images/NV_H_s100123.jpg
7531981;NV1-H-3M;16;Hy-Lok 3mm
7531981;NV1-H-3M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры.<br/>igolchatie"">414бар<sup>*</sup></span>"
7531981;NV1-H-3M;18;"{""18"":""0,09"",""25"":""2""}"
7531981;NV1-H-3M;21;Hy-Lok 3mm
7531981;NV1-H-3M;38;V15A-D-3M-BH
7531981;NV1-H-3M;39;V15A-D-3M
7531981;NV1-H-3M;71;"от -54&#176;C до 232&#176;C"
7531981;NV1-H-3M;82;PTFE (стандарт)
7531981;NV1-H-3M;83;V
7531981;NV1-H-3M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531981;NV1-H-3M;91;SS-OVS3MM
7531981;NV1-H-3M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531981;NV1-H-3M;96;V-образная (стандарт)
7531981;NV1-H-3M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531981;NV1-H-3M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531981;NV1-H-3M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531981;NV1-H-3M;123;M3A-V2B-SS
7531981;NV1-H-3M;126;M3A-V2B-SS
7531982;NV2-H-6M;6;assets/images/NV_H_s100.jpg
7531982;NV2-H-6M;16;Hy-Lok 6mm
7531982;NV2-H-6M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531982;NV2-H-6M;18;"{""18"":""0,37"",""25"":""4,3""}"
7531982;NV2-H-6M;21;Hy-Lok 6mm
7531982;NV2-H-6M;38;V15B-D-6M-BH
7531982;NV2-H-6M;39;V15B-D-6M
7531982;NV2-H-6M;71;"от -54&#176;C до 232&#176;C"
7531982;NV2-H-6M;82;PTFE (стандарт)
7531982;NV2-H-6M;83;V
7531982;NV2-H-6M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531982;NV2-H-6M;91;SS-1VS6MM
7531982;NV2-H-6M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531982;NV2-H-6M;96;V-образная (стандарт)
7531982;NV2-H-6M;108;SS316::Корпус|1|1//SS316::Игла|1|2//SS316::Шайба сальника|1|3//PTFE::Сальник|1|4//SS316::Проставка уплотнения|1|5//SS316::Гайка уплотения|1|6//SS316::Рукоятка|0|7//SS316::Обжимная гайка|1|8//SS316::Переднее кольцо|1|9//SS316::Заднее кольцо|1|10
7531982;NV2-H-6M;120;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531982;NV2-H-6M;121;"<div class=""elemento info"" mat=""PTFE"">PTFE (стандарт)</div>"
7531982;NV2-H-6M;123;M6A-V4B-SS
7531982;NV2-H-6M;126;M6A-V4B-SS
7531983;NV2-H-8M;6;assets/images/NV_H_s100.jpg
7531983;NV2-H-8M;16;Hy-Lok 808mm
7531983;NV2-H-8M;17;"<span class=""help"" title=""Указано значение для темп. от -54 до 38 °С<br/>см. график зависимости давления от температуры."">414бар<sup>*</sup></span>"
7531983;NV2-H-8M;18;"{""18"":""0,37"",""25"":""4,3""}"
7531983;NV2-H-8M;21;Hy-Lok 8mm
7531983;NV2-H-8M;38;V15B-D-8M-BH
7531983;NV2-H-8M;39;V15B-D-8M
7531983;NV2-H-8M;71;"от -54&#176;C до 232&#176;C"
7531983;NV2-H-8M;82;PTFE (стандарт)
7531983;NV2-H-8M;83;V
7531983;NV2-H-8M;86;"Проходной<br><img src=""assets/images/NV_H_s100.jpg"">"
7531983;NV2-H-8M;91;SS-1VS8MM
7531983;NV2-H-8M;95;"V-образная (стандарт)<br><img src=""assets/images/NV-needle-V.jpg"">"
7531983;NV2-H-8M;96;V-образная (стандарт)
